Cód.Original;Baia;;Nível;Cód.Barras
9430084759;104A;AA;2;789006735912 7
70490350E;105;AA;2;789582507848 7
70100778;106;AA;2;789582503236 6
70100779;107;AA;2;100070052156 9
70100745E;108;AA;2;789582503219 9
 0576059;109;AA;2;100210051758 6
2511157;110;AA;2;100240053778 9
70180177;111;AA;2;789582503321 9
36866755;112;AA;2;100020050978 4
2418M006;113;AA;2;100130057774 1
2172527E;114;AA;2;789582501272 6
70180155E;115;AA;2;789582503310 3
36833136;116;AA;2;100020057421 8
50946298;116;AA;2;789000232421 0
70150013;117;AA;2;100480054193 9
70490814E;117;AA;2;789582507948 4
70490383E;118;AA;2;789582507883 8
70490383R;118;AA;2;100010014567 9
50926498;118;AA;2;720020010683 7
70339NA;118;AA;2;789000238298 2
77164;119;AA;2;100670050218 8
2415345;120;AA;2;100130057375 0
70490199;121;AA;2;100020051167 1
70410084E;122;AA;2;789582503815 3
70590015E;122A;AA;2;789582507980 4
73050;122B;AA;2;789582500124 9
73051;123;AA;2;101350054412 6
70998002;123;AA;2;100010056266 7
 0096233;124;AA;2;789582500795 1
0096214E;125;AA;2;789582500791 3
70820104E;126;AA;2;789582504787 2
33125411;127;AA;2;100240058928 3
50909490;128;AA;2;720020050129 8
70490356;128;AA;2;100020053878 4
36866737;129;AA;2;100020051124 4
70490356R;129;AA;2;789582508780 9
3684N015E;130;AA;2;789582507543 1
